method,candidate_budget_M,k,tau_k,e_at_k,margin_k,mass_ratio_k,num_above_tau,unconstrained_feasible
null_superset_no_audit,150,145,10.344827586206897,8.77761657244452,-1.5672110137623765,0.8485029353363036,126,False
null_superset_no_audit,150,146,10.273972602739725,8.77761657244452,-1.496356030295205,0.8543546797179334,126,False
null_superset_no_audit,150,147,10.204081632653061,8.77761657244452,-1.4264650602085407,0.860206424099563,126,False
null_superset_no_audit,150,148,10.135135135135135,8.77761657244452,-1.3575185626906148,0.8660581684811928,126,False
null_superset_no_audit,150,149,10.06711409395973,8.77761657244452,-1.2894975215152105,0.8719099128628223,126,False
null_superset_no_audit,150,150,10.0,8.77761657244452,-1.2223834275554797,0.8777616572444521,126,False
parc_track_gamma_tuned_uniform_scs,150,1,1500.0,21.2489479459056,-1478.7510520540943,0.014165965297270398,0,False
parc_track_gamma_tuned_uniform_scs,150,2,750.0,21.2489479459056,-728.7510520540944,0.028331930594540797,0,False
parc_track_gamma_tuned_uniform_scs,150,3,499.99999999999994,21.2489479459056,-478.7510520540943,0.0424978958918112,0,False
parc_track_gamma_tuned_uniform_scs,150,4,375.0,21.2489479459056,-353.75105205409443,0.056663861189081594,0,False
