alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.05,0,null_superset_no_audit,175,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-10.414089343690817,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,200,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-11.486876073125831,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,250,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-11.486876073125831,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,100,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-4.796208062965894,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,125,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-8.605731872489704,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,150,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-10.135216221494389,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,175,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-10.484053430796717,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,200,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-11.546513122395918,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,250,982.0,683.0,683.0,0.0014619883040935,0.1531872620226992,0.1531872620226992,38.546439933685846,38.546439933685846,-11.546513122395918,insufficient_high_e_mass_for_uniform_scs
0.05,0,tracklet_e_bh,75,,,,,,,,,,baseline_selected_empty
